"","County","Trump","Clinton","pctClinton","pctTrump"
"1","Douglas",108077,113798,0.512892394366197,0.487107605633803
"2","Lancaster",61588,61898,0.501255203018966,0.498744796981034
"3","Sarpy",45143,28033,0.383090084180606,0.616909915819394
"4","Hall",14408,6282,0.30362493958434,0.69637506041566
"5","Buffalo",14569,4763,0.246379060624871,0.753620939375129
"6","Lincoln",12164,2913,0.193208197917358,0.806791802082642
"7","Dodge",9933,4544,0.313877184499551,0.686122815500449
"8","Platte",10965,2646,0.19440158695173,0.80559841304827
"9","Madison",10628,2711,0.203238623584976,0.796761376415024
"10","Scotts Bluff",10076,3207,0.241436422494918,0.758563577505082
"11","Adams",9287,3302,0.262292477559774,0.737707522440226
"12","Cass",8452,3484,0.291890080428954,0.708109919571046
"13","Saunders",7555,2523,0.250347291129192,0.749652708870808
"14","Washington",7424,2623,0.261072957101622,0.738927042898378
"15","Gage",6380,2935,0.31508319914117,0.68491680085883
"16","Dawson",5984,2136,0.263054187192118,0.736945812807882
"17","Seward",5454,1875,0.255832992222677,0.744167007777323
"18","Otoe",4860,2025,0.294117647058824,0.705882352941177
"19","York",4700,1186,0.201495073054706,0.798504926945294
"20","Dakota",3616,2314,0.390219224283305,0.609780775716695
"21","Custer",4695,641,0.120127436281859,0.879872563718141
"22","Red Willow",4258,645,0.131552110952478,0.868447889047522
"23","Saline",3004,1733,0.365843360776863,0.634156639223137
"24","Holt",4354,531,0.108700102354145,0.891299897645855
"25","Hamilton",3783,878,0.188371594078524,0.811628405921476
"26","Box Butte",3617,965,0.210606721955478,0.789393278044522
"27","Cheyenne",3665,711,0.162477148080439,0.837522851919561
"28","Phelps",3849,572,0.129382492648722,0.870617507351278
"29","Cedar",3532,571,0.139166463563246,0.860833536436754
"30","Knox",3188,720,0.184237461617196,0.815762538382805
"31","Cuming",3122,719,0.187190835719865,0.812809164280135
"32","Keith",3235,571,0.150026274303731,0.849973725696269
"33","Butler",3079,691,0.183289124668435,0.816710875331565
"34","Richardson",2769,818,0.228045720657931,0.771954279342069
"35","Merrick",2926,602,0.170634920634921,0.829365079365079
"36","Wayne",2693,835,0.236678004535147,0.763321995464853
"37","Dawes",2632,801,0.233323623652782,0.766676376347218
"38","Pierce",3052,382,0.111240535818288,0.888759464181712
"39","Burt",2367,930,0.282074613284804,0.717925386715196
"40","Jefferson",2399,837,0.258652657601978,0.741347342398022
"41","Kearney",2531,550,0.17851346965271,0.82148653034729
"42","Antelope",2732,383,0.122953451043339,0.877046548956661
"43","Colfax",2171,859,0.283498349834984,0.716501650165017
"44","Nemaha",2116,785,0.270596346087556,0.729403653912444
"45","Cherry",2623,317,0.107823129251701,0.892176870748299
"46","Clay",2422,477,0.164539496378061,0.835460503621939
"47","Howard",2284,544,0.192362093352192,0.807637906647808
"48","Fillmore",2130,613,0.223477943857091,0.776522056142909
"49","Boone",2299,414,0.152598599336528,0.847401400663472
"50","Stanton",2187,417,0.160138248847926,0.839861751152074
"51","Dixon",2041,556,0.214093184443589,0.785906815556411
"52","Thayer",2051,499,0.195686274509804,0.804313725490196
"53","Sheridan",2211,287,0.114891913530825,0.885108086469175
"54","Polk",2028,413,0.169192953707497,0.830807046292503
"55","Furnas",1921,304,0.136629213483146,0.863370786516854
"56","Morrill",1802,284,0.13614573346117,0.86385426653883
"57","Nuckolls",1726,353,0.16979316979317,0.83020683020683
"58","Valley",1780,339,0.159981123171307,0.840018876828693
"59","Johnson",1355,563,0.293534932221064,0.706465067778936
"60","Thurston",1043,919,0.468399592252803,0.531600407747197
"61","Chase",1648,171,0.0940076965365585,0.905992303463442
"62","Harlan",1496,254,0.145142857142857,0.854857142857143
"63","Webster",1330,306,0.187041564792176,0.812958435207824
"64","Kimball",1330,230,0.147435897435897,0.852564102564103
"65","Franklin",1347,250,0.156543519098309,0.843456480901691
"66","Nance",1261,281,0.182230869001297,0.817769130998703
"67","Brown",1385,153,0.099479843953186,0.900520156046814
"68","Sherman",1150,340,0.228187919463087,0.771812080536913
"69","Hitchcock",1232,161,0.115577889447236,0.884422110552764
"70","Perkins",1217,161,0.116835994194485,0.883164005805515
"71","Frontier",1110,161,0.126671911880409,0.873328088119591
"72","Pawnee",974,279,0.222665602553871,0.777334397446129
"73","Greeley",912,210,0.18716577540107,0.812834224598931
"74","Boyd",983,128,0.115211521152115,0.884788478847885
"75","Garden",869,153,0.149706457925636,0.850293542074364
"76","Gosper",794,166,0.172916666666667,0.827083333333333
"77","Deuel",809,120,0.129171151776103,0.870828848223897
"78","Garfield",821,121,0.128450106157113,0.871549893842888
"79","Dundy",823,89,0.0975877192982456,0.902412280701754
"80","Rock",687,70,0.0924702774108322,0.907529722589168
"81","Sioux",616,81,0.116212338593974,0.883787661406026
"82","Keya Paha",460,40,0.08,0.92
"83","Hayes",472,30,0.0597609561752988,0.940239043824701
"84","Wheeler",377,62,0.14123006833713,0.85876993166287
"85","Logan",400,32,0.0740740740740741,0.925925925925926
"86","Hooker",355,40,0.10126582278481,0.89873417721519
"87","Grant",367,20,0.0516795865633075,0.948320413436692
"88","Banner",357,19,0.050531914893617,0.949468085106383
"89","Thomas",344,30,0.0802139037433155,0.919786096256685
"90","Loup",323,48,0.129380053908356,0.870619946091644
"91","Blaine",276,30,0.0980392156862745,0.901960784313726
"92","McPherson",257,14,0.0516605166051661,0.948339483394834
"93","Arthur",244,17,0.0651340996168582,0.934865900383142
